INFO 2022-08-29 15:52:43,211 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 16:47:30,039 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 16:47:33,654 basehttp 187 "GET / HTTP/1.1" 200 9862
INFO 2022-08-29 16:47:36,016 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14165
INFO 2022-08-29 16:48:52,393 basehttp 187 "GET /admin HTTP/1.1" 301 0
INFO 2022-08-29 16:48:52,545 basehttp 187 "GET /admin/ HTTP/1.1" 200 7040
INFO 2022-08-29 16:48:52,610 basehttp 187 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2022-08-29 16:48:58,757 basehttp 187 "GET /admin/blog/post/ HTTP/1.1" 200 7927
INFO 2022-08-29 16:48:58,802 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2022-08-29 16:49:03,798 basehttp 187 "GET /admin/blog/post/2/change/ HTTP/1.1" 200 11184
INFO 2022-08-29 16:49:03,857 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2022-08-29 16:49:47,370 basehttp 187 "POST /admin/blog/post/2/change/ HTTP/1.1" 302 0
INFO 2022-08-29 16:49:47,409 basehttp 187 "GET /admin/blog/post/ HTTP/1.1" 200 8118
INFO 2022-08-29 16:49:47,459 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2022-08-29 16:49:51,714 basehttp 187 "GET / HTTP/1.1" 200 9862
INFO 2022-08-29 16:49:52,635 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14640
INFO 2022-08-29 16:50:07,779 basehttp 187 "GET /admin/blog/post/2/change/ HTTP/1.1" 200 11667
INFO 2022-08-29 16:50:07,825 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2022-08-29 16:50:24,782 basehttp 187 "POST /admin/blog/post/2/change/ HTTP/1.1" 302 0
INFO 2022-08-29 16:50:24,804 basehttp 187 "GET /admin/blog/post/ HTTP/1.1" 200 8118
INFO 2022-08-29 16:50:24,855 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2022-08-29 16:50:29,072 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14135
INFO 2022-08-29 16:51:14,745 autoreload 266 D:\Users\18203\Desktop\work\blogproject\blog\views.py changed, reloading.
INFO 2022-08-29 16:51:15,524 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 16:51:46,760 autoreload 266 D:\Users\18203\Desktop\work\blogproject\blog\views.py changed, reloading.
INFO 2022-08-29 16:51:47,371 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 16:51:49,912 autoreload 266 D:\Users\18203\Desktop\work\blogproject\blog\views.py changed, reloading.
INFO 2022-08-29 16:51:50,747 autoreload 677 Watching for file changes with StatReloader
ERROR 2022-08-29 16:51:57,055 log 241 Internal Server Error: /posts/2/
Traceback (most recent call last):
  File "D:\Users\18203\blog\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "D:\Users\18203\blog\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "D:\Users\18203\Desktop\work\blogproject\blog\views.py", line 19, in detail
    post.body = markdown.markdown(post.body, extensions=[
  File "D:\Users\18203\blog\lib\site-packages\markdown\core.py", line 386, in markdown
    md = Markdown(**kwargs)
  File "D:\Users\18203\blog\lib\site-packages\markdown\core.py", line 96, in __init__
    self.registerExtensions(extensions=kwargs.get('extensions', []),
  File "D:\Users\18203\blog\lib\site-packages\markdown\core.py", line 123, in registerExtensions
    ext = self.build_extension(ext, configs.get(ext, {}))
  File "D:\Users\18203\blog\lib\site-packages\markdown\core.py", line 162, in build_extension
    module = importlib.import_module(ext_name)
  File "C:\Users\18203\AppData\Local\Programs\Python\Python39\lib\importlib\__init__.py", line 127, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File "<frozen importlib._bootstrap>", line 1030, in _gcd_import
  File "<frozen importlib._bootstrap>", line 1007, in _find_and_load
  File "<frozen importlib._bootstrap>", line 972, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 228, in _call_with_frames_removed
  File "<frozen importlib._bootstrap>", line 1030, in _gcd_import
  File "<frozen importlib._bootstrap>", line 1007, in _find_and_load
  File "<frozen importlib._bootstrap>", line 972, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 228, in _call_with_frames_removed
  File "<frozen importlib._bootstrap>", line 1030, in _gcd_import
  File "<frozen importlib._bootstrap>", line 1007, in _find_and_load
  File "<frozen importlib._bootstrap>", line 984, in _find_and_load_unlocked
ModuleNotFoundError: No module named 'markdwon'
ERROR 2022-08-29 16:51:57,057 basehttp 187 "GET /posts/2/ HTTP/1.1" 500 110614
INFO 2022-08-29 16:52:22,058 autoreload 266 D:\Users\18203\Desktop\work\blogproject\blog\views.py changed, reloading.
INFO 2022-08-29 16:52:22,816 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 16:52:25,563 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14116
INFO 2022-08-29 16:52:34,000 autoreload 266 D:\Users\18203\Desktop\work\blogproject\blog\views.py changed, reloading.
INFO 2022-08-29 16:52:34,683 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 16:52:35,114 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14116
INFO 2022-08-29 16:52:37,546 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14116
INFO 2022-08-29 16:55:14,065 autoreload 266 D:\Users\18203\Desktop\work\blogproject\blog\views.py changed, reloading.
INFO 2022-08-29 16:55:14,752 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 16:55:20,502 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 16:55:27,839 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14135
INFO 2022-08-29 16:57:07,357 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14135
INFO 2022-08-29 16:58:04,888 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14135
INFO 2022-08-29 16:59:04,154 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14135
INFO 2022-08-29 17:02:32,582 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 14135
INFO 2022-08-29 17:04:39,041 autoreload 266 D:\Users\18203\Desktop\work\blogproject\blog\views.py changed, reloading.
INFO 2022-08-29 17:04:39,677 autoreload 677 Watching for file changes with StatReloader
